sõna,sihtsünohulk,suhtesoovitused,sihtsünohulga definitsioon,suhtega seotud soovitused
ALA,kant.n.01,"{""Synset('ümbrus.n.01')"", ""Synset('maa-ala.n.01')"", ""Synset('osa.n.03')"", ""Synset('lähedus.n.02')""}","(ebamääraselt:) teat. ümbruskond, ümbrus, piirkond, maanurk (eraldatud) osa mingist maa-alast; (kõrvalisem, kaugem) osa mingist paikkonnast",set()
ALA,puhkepaik.n.01,"{""Synset('maa-ala.n.01')""}","puhkamiseks looduslikult soodus maa-ala, mida on otstarbe järgi kohandatud",set()
ALA,keeluala.n.01,"{""Synset('maa-ala.n.01')""}",erirežiimiga maa-ala looduskompleksi ühe v. mitme komponendi kaitseks,set()
ALA,tiir.n.02,"{""Synset('maa-ala.n.01')""}",maa-ala v. ruum laskeharjutusteks ja -võistlusteks (EKSS),set()
ALA,õu.n.01,"{""Synset('maa-ala.n.01')""}","maa-ala, mis ümbritseb ehitisi",set()
ALA,eelgriin.n.01,"{""Synset('griin.n.01')""}",on ala mis ümbritseb griini. See ala on niidetud pisut kõrgemalt kui griin ning pall ei veere eelgriinil sama hästi,set()
ALA,avalöögiala.n.01,"{""Synset('osa.n.03')""}","golfiraja osa, avalöögialalt teeb golfimängija antud raja esimese löögi",set()
ALA,maa-ala.n.01,"{""Synset('osa.n.03')""}",teatud osa maast,set()
ALA,ruff.n.01,"{""Synset('edenemisala.n.01')"", ""Synset('osa.n.03')""}","ruff on golfiraja osa, ala väljaspool edenemisala",set()
ALA,veestik.n.01,"{""Synset('maa-ala.n.01')""}",mingi kindla maa-ala veekogud,set()
ALA,polder.n.01,"{""Synset('maa-ala.n.01')""}","Üleujutuse eest tammistatud kuivendatud maa-ala, mille pind on allpool mere- vm. naaberveekogu pinda (EKSS)",set()
ALA,keskjooks.n.01,"{""Synset('ülemjooks.n.01')""}","jõe keskmine, alam- ja ülemjooksu vaheline osa (EKSS)",set()
ALA,ülemjooks.n.01,"{""Synset('keskosa.n.01')"", ""Synset('keskus.n.03')""}",jõgi lähtest kuni keskosani (EKSS),set()
ALA,epitsenter.n.01,"{""Synset('keskus.n.03')""}",maavärina v. plahvatuse kolde vertikaalprojektsioon maapinnal,set()
ALA,raadius.n.02,"{""Synset('punkt.n.02')"", ""Synset('keskus.n.03')""}","tegevus- v. toimimispiirkonna ulatus, millegi levik (mingi keskpunkti suhtes)",set()
ALA,keskus.n.03,"{""Synset('punkt.n.02')""}","asula, koht, ala, millel on mingis suhtes keskne, juhtiv seisund (EKSS)",set()
ALA,lõik.n.05,"{""Synset('punkt.n.02')""}",kahe punkti (sirglõigu otspunktide) vaheline osa (otspunktid kaasa arvatud) (EKSS),set()
ALA,koloonia.n.01,"{""Synset('piirkond.n.03')""}","maa v. territoorium, mille mingi teine, hrl. majanduslikult arenenum riik on allutanud ning mida ta ekspluateerib",set()
ALA,jahindus.n.01,"{""Synset('asjandus.n.03')""}",jahti ja jahimajandust hõlmav tegevusala,set()
ALA,elukutse.n.01,"{""Synset('töökoht.n.03')"", ""Synset('ametiala.n.01')""}","spetsiaalse ettevalmistuse v. töö kaudu omandatud teadmised, oskused ja vilumused mingil alal töötamiseks; õpitud tööala",set()
ALA,autondus.n.01,"{""Synset('asjandus.n.03')""}",,set()
ALA,külgpindala.n.01,"{""Synset('täispindala.n.01')""}",keha täispindala ja põhja (v. põhjade) pindala vahe (EKSS),set()
ALAEALINE,kaak.n.01,"{""Synset('noor.n.01')""}","huligaanse käitumisega v. ka kuritegevusele kalduv isik (eriti nooruk) vempe, koerustükke tegeva inimese kohta",set()
ALGAMA,koitma.v.02,"{""Synset('saabuma.v.02')""}","saabuma, kätte jõudma v. saabumas, kätte jõudmas olema",set()
ALKOHOL,brändi.n.01,"{""Synset('vein.n.01')"", ""Synset('konjak.n.01')""}","veinist destilleeritud alkohoolne jook, samaväärne konjakiga",set()
ALKOHOL,riisivein.n.01,"{""Synset('vein.n.01')""}",,set()
ALKOHOL,grokk.n.01,"{""Synset('viski.n.01')"", ""Synset('konjak.n.01')"", ""Synset('rumm.n.01')""}","rummist, konjakist, viskist v. arrakist ja kuumast veest ning suhkrust segatud jook",set()
ALKOHOL,märjuke.n.01,"{""Synset('õlu.n.01')""}",alkohoolne jook (eriti õlu),set()
ALKOHOL,liköör.n.01,"{""Synset('viin.n.01')""}","magus puuviljade, marjade v. rohttaimede mahlu v. ekstrakte, samuti maitseaineid sisaldav kange alkohoolne jook",set()
ALKOHOL,džinn.n.01,"{""Synset('viin.n.01')""}","kadakamarjadega maitsestatud teraviljaviin, kadakamarjaviin (EKSS)",set()
ALKOHOL,mõdu.n.01,"{""Synset('linnasejook.n.01')""}","endisaegne kääritatud, alkoholisisaldusega meejook; tööstuslikult valmistatud alkoholita linnasejook (EKSS)",set()
ALKOHOL,vinjak.n.01,"{""Synset('konjak.n.01')""}",konjakiga samaväärne alkohoolne jook (EKSS),set()
ALKOHOL,metanool.n.01,"{""Synset('etanool.n.01')""}",väga mürgine värvusetu etanooli lõhnaga vedelik,set()
ALUS,täislaev.n.01,"{""Synset('purjelaev.n.01')""}","suur 3- kuni 5-mastiline raapurjestusega purjelaev, mille iga mast kannab täispurjestust ja mida kasutati 19.-20. sajandil pikamaakaubalaevana",set()
ALUS,parklaev.n.01,"{""Synset('purjelaev.n.01')""}","19. sajandi keskpaiku levinuimaks kaubalaevaks muutunud kolme- v enamamastiline kaugsõidupurjekas, mille viimases mastis on kahvelpuri ja topsel, teistes raapurjed",set()
ALUS,jaht.n.01,"{""Synset('purjelaev.n.01')""}","väike laev, hrl. ühemastiline purjekas sportimiseks v. lõbureisideks",set()
ALUS,mopialus.n.01,"{""Synset('raam.n.04')""}","tavaliselt ristkülikukujuline alus, kuhu kinnitatakse mopi tekstiilotsik",set()
ALUS,sarikas.n.01,"{""Synset('roov.n.01')""}","katusekalde raamistikku moodustav paariviisi asetatud (puust) ehitusosa (latt), mis ulatub katuseräästast katuseharjani ja on ühtlasi koos roovitisega kandvaks aluseks katusekattele","{""Synset('roov.n.01')""}"
ALUS,taldmik.n.01,"{""Synset('tald.n.03')"", ""Synset('vundament.n.01')""}","ehit vundamendi alumine, kandev osa, mis on laiem kui sellel olev vundamendisein ning moodustav vundamendi talla, millel vundament seisab vastu pinnast",set()
ALUS,stülobaat.n.01,"{""Synset('vundament.n.01')""}","antiiktempli astmetaoliselt tõusva alusmüüri ülemine osa, millele toetuvad sambad",set()
ALUS,konsoolipärg.n.01,"{""Synset('kronstein.n.01')"", ""Synset('konsool.n.01')""}",samba v piilari talumiplaati korrapäraselt ümbritsevad konsoolid vööndkaarte toetamiseks,set()
ALUS,plint.n.01,"{""Synset('baas.n.04')""}",nelinurkne samba baasi kuuluv kiviplaat joonia ja korintose sambal,set()
ALUS,stereobaat.n.01,"{""Synset('vundament.n.01')""}","kaljusse raiutud või müüritud antiiktempli kolmeastmelise vundamendi alumine osa, alusmüür",set()
ALUS,krepidoma.n.02,"{""Synset('stülobaat.n.01')"", ""Synset('kolonnaad.n.01')"", ""Synset('vundament.n.01')"", ""Synset('stereobaat.n.01')""}","antiiktempli vundamendi keskmine osa, mis lasub mittenähtava alusmüüri stereobaadi peal ning millel lasub stülobaat ja sammastik",set()
ALUS,roov.n.01,"{""Synset('sarikas.n.01')""}",katusekatet vahetult kandev sarikatele kinnitatud rõhtlattidest v. laudadest alus paigaldatud roovlatid v. -lauad,"{""Synset('sarikas.n.01')""}"
ALUS,sillus.n.01,"{""Synset('tala.n.01')""}","seinas olevat ava kattev tarind (näit tala, kaar), mis võtab vastu tema kohal paikneva seinaosa koormuse (EKSS)",set()
ALUS,tõestus.n.01,"{""Synset('argument.n.01')""}","midagi tõestav seik, asjaolu, argument vms., tõendus (EKSS)",set()
AMETIISIK,diktaator.n.02,"{""Synset('võim.n.04')""}","Vana-Roomas piiramatu võimuga ametiisik, kes määrati riiki ähvardava ohu korral konsulite poolt ametisse kuueks kuuks (EKSS)",set()
AMETIISIK,ombudsman.n.01,"{""Synset('riigiametnik.n.01')""}","ametiisik, kelle ülesanne on kodaniku ja riigiametniku konflikti korral kodaniku kaebuse alusel kontrollida ametniku teguviisi seaduskohasust",set()
AMETIISIK,haldur.n.01,"{""Synset('võim.n.04')""}",riigivõimu kohapealne esindaja,set()
AMETIISIK,pressisekretär.n.01,"{""Synset('riigiametnik.n.01')""}",mõne maa kõrgem riigiametnik ajakirjanduse küsimustes (EKSS),set()
ANDMA,vilja kandma.v.01,"{""Synset('kandma.v.06')""}",,set()
ANDMA,pealkirjastama.v.01,"{""Synset('varustama.v.01')""}",pealkirjaga varustama,set()
ANDMA,lajatama.v.02,"{""Synset('laksama.v.01')""}",(laksatades),set()
ANDMA,võõrustama.v.01,"{""Synset('pakkuma.v.03')""}",meelelahutust pakkuma,set()
ANDMED,andmevakk.n.01,"{""Synset('andmeait.n.01')""}",lokaalne andmeait,"{""Synset('andmeait.n.01')""}"
ANDMED,klaartekst.n.01,"{""Synset('sisu.n.04')""}","arusaadavad andmed, mille semantiline sisu on vabalt, krüptograafiliste meetoditeta kättesaadav",set()
ANTENN,dipoolantenn.n.01,"{""Synset('lühilaineantenn.n.01')""}",kaheosaline lühilaineantenn (EKSS),set()
ANUM,kirn.n.01,"{""Synset('puunõu.n.01')""}",kõrge kitsas puunõu (hrl. piima v. koore säilitamiseks),set()
ANUM,pali.n.01,"{""Synset('puunõu.n.01')""}",hrl. ovaalne (kolme jalaga) puunõu pesupesemiseks,set()
ANUM,tünn.n.01,"{""Synset('puunõu.n.01')""}","hrl. kumerate külgede ja kahe põhjaga puunõu, millest üks põhi enamasti välja käib; muu sellelaadne suurem nõu (EKSS)",set()
ANUM,astja.n.01,"{""Synset('puunõu.n.01')""}","hrl. kolme jalaga ümmargune v. ovaalne suurem puunõu leivataigna, kalja, liha vms. jaoks; üldse mingi nõu, anum (EKSS)",set()
ANUM,amfora.n.01,"{""Synset('savinõu.n.01')""}","kõrge kahe käepidemega kõhukas savinõu, laia jala ja lehterja kaela ning suudmega",set()
ANUM,matt.n.03,"{""Synset('puunõu.n.01')""}","väiksem madal ümmarguse põhjaga puunõu (näit. terade, jahu jaoks) (EKSS)",set()
ANUM,prügikast.n.01,"{""Synset('kast.n.01')"", ""Synset('urn.n.01')""}","kast vm. nõu (näit. urn, konteiner) prügi paigutamiseks",set()
ANUM,pesukauss.n.01,"{""Synset('kauss.n.01')""}",suure vaagna taoline anum pesemiseks,set()
ANUM,länik.n.01,"{""Synset('puunõu.n.01')""}","(kuni 10-toobine) pealt laienev väikeste kõrvadega ning sangkaanega puunõu piima, või, silkude vm. hoidmiseks ja kaasavõtmiseks",set()
ANUM,kööginõu.n.01,"{""Synset('kauss.n.01')"", ""Synset('pang.n.02')"", ""Synset('pesukauss.n.01')""}","suurem köögis kasutatav nõu (näit. kastrul, ämber, pesukauss)",set()
ANUM,lähker.n.01,"{""Synset('puunõu.n.01')""}",trummikujuline kahe põhjaga puunõu joogi kaasavõtmiseks. (väike kumerate külgedega) lähker.,set()
ANUM,leivaküna.n.01,"{""Synset('astja.n.01')"", ""Synset('puunõu.n.01')""}","leivaküna hrl. kolme jalaga ovaalne v. ümmargune kaanega suletav puunõu leivataigna tegemiseks, leivaastja.",set()
APARAAT,satelliit.n.01,"{""Synset('kosmoseaparaat.n.01')""}",Maa vm. taevakeha ümber tiirlema lähetatud kosmoseaparaat,set()
APARAAT,automaatvastaja.n.01,"{""Synset('telefon.n.04')"", ""Synset('telefon.n.01')""}","telefoni lisaseade, mis võtab vastu kõnesid ja salvestab ning esitab jäetud teateid (EKSS)","{""Synset('telefon.n.01')""}"
APARAAT,erituselundkond.n.01,"{""Synset('soolestik.n.01')""}","elundkond, millesse kuuluvad elundid eemaldavad organismist ainevahetuses moodustunud jääkaineid. Inimesel talitlevad erituselunditena peamiselt neerud, aga ka kopsud, nahk ja soolestik",set()
APARAAT,vereringeelundkond.n.01,"{""Synset('ringeelundkond.n.01')""}","elundkond, mis kindlustab kõigi rakkude, kudede ja organite varustamise elutegevuseks vajalike ainetega ning jääkainete transpordi erituseluditesse",set()
ARENEMA,voolama.v.04,"{""Synset('arenema.v.03')""}","(ühtlaselt, sujuvalt, ladusalt) liikuma v. kulgema (EKSS)",set()
ARMASTAMA,magama.v.03,"{""Synset('käima.v.14')""}","kellegagi seksuaalvahekorras olema, suguliselt läbi käima",set()
ARMEE,dessantvägi.n.01,"{""Synset('vaenlane.n.02')""}",vaenlase tagalasse paiskamiseks ja seal tegutsemiseks ettenähtud väed,set()
ARST,raviarst.n.01,"{""Synset('palatiarst.n.01')""}",haigla osakonnajuhataja juhendamisel töötav arst (näit. palatiarst),set()
ARTIST,soleerija.n.01,"{""Synset('laulja.n.01')"", ""Synset('tantsija.n.01')""}","soolot esitav laulja, instrumentalist v. tantsija",set()
ARUSAAM,tervik.n.01,"{""Synset('lõik.n.02')""}","elementidest, osadest vm. koosnev koguhulk",set()
ARUTELU,konsultatsioon.n.01,"{""Synset('läbirääkimine.n.01')""}","(nt ülikoolis, med.asutuses) asjatundjaga nõupidamine",set()
ARUTELU,debatt.n.01,"{""Synset('diskussioon.n.02')""}",organiseeritud arutelu v. väitlus (hrl. poliitilistel teemadel),set()
ARUTELU,vaidlus.n.01,"{""Synset('diskussioon.n.02')""}",väitlus eriarvamuste üle; diskussioon,set()
ARUTELU,lahing.n.02,"{""Synset('vaidlus.n.01')""}","kakluse v. ägeda riiu, sõnasõja, vaidluse jms. kohta (EKSS)",set()
ARV,suhtarv.n.01,"{""Synset('absoluutarv.n.01')"", ""Synset('väärtus.n.04')""}","(statistikas:) absoluutarvude suhtena leitud näitarv, suhtelise suuruse arvväärtus (EKSS)","{""Synset('absoluutarv.n.01')""}"
ARV,segaarv.n.01,"{""Synset('murdarv.n.01')""}",täisarvust ja lihtmurrust koosnev arv (EKSS),set()
ARV,tuletis.n.02,"{""Synset('väärtus.n.04')""}","matemaatilises analüüsis põhimõiste, mis iseloomustab funktsiooni väärtuste muutumise intensiivsust (EKSS) funktsiooni y=f(x) tuletis kohal x0 on funktsiooni muudu ja argumendi muudu suhte piirväärtus, kui argumendi muut läheneb arvule 0",set()
ARV,integraal.n.01,"{""Synset('väärtus.n.04')""}",integreerimise teel leitud algfunktsioon; teatav summa piirväärtus (EKSS),set()
ARV,absoluutarv.n.01,"{""Synset('väärtus.n.04')""}",absoluutsuuruse arvväärtus,set()
ARV,diferentsiaal.n.02,"{""Synset('tuletis.n.02')""}",funktsiooni muudu peaosa (EKSS) funktsiooni y=f(x) tuletise ja argumendi muudu korrutis,set()
ARV,mitmus.n.01,"{""Synset('ainsus.n.01')""}","grammatiline arv, mis väljendab seda, et kõnealuseid objekte on rohkem kui üks, pluural; ant. ainsus","{""Synset('ainsus.n.01')""}"
ARV,ainsus.n.01,"{""Synset('mitmus.n.01')""}","grammatiline arv, mis väljendab seda, et kõnealuseid objekte on üks, singular; ant. mitmus.","{""Synset('mitmus.n.01')""}"
ARVAMA,pähe andma.v.01,"{""Synset('arvustama.v.02')"", ""Synset('arvustama.v.03')""}",karmilt arvustama (EKSS),set()
ARVAMA,umbusaldama.v.01,"{""Synset('usaldama.v.01')""}",kahtlaseks pidama,set()
ARVAMA,alahindama.v.01,"{""Synset('kiitma.v.01')""}","tegelikust vähem tähtsaks v. vähem oluliseks pidama, millegi v. kellegi täit väärtust mitte mõistma v. mitte tunnustama",set()
ARVAMA,kahtlustama.v.01,"{""Synset('arvama.v.05')""}","(hrl. kellegi suhtes) midagi halba, taunitavat oletama",set()
ARVAMA,eeldama.v.02,"{""Synset('arvama.v.05')""}",kogemuseta v. mittepiisava andmestiku põhjal midagi väitma v. ette kujutama (EKSS),set()
ARVAMA,uskuma.v.03,"{""Synset('arvama.v.05')""}",tõeks pidama milleski kindel olema,set()
ARVAMUS,subjektiivsus.n.01,"{""Synset('objektiivsus.n.01')""}",isiklikul arvamusel põhinev,"{""Synset('objektiivsus.n.01')""}"
ARVESTAMA,astendama.v.02,"{""Synset('korrutama.v.01')""}",arvu iseendaga teatud arv kordi korrutama (EKSS),"{""Synset('korrutama.v.01')""}"
ARVESTAMA,taandama.v.06,"{""Synset('jagama.v.04')""}",hariliku murru lugejat ja nimetajat nende ühisteguriga jagama (EKSS),set()
ARVUTI,klientjaam.n.01,"{""Synset('klient.n.02')""}","arvuti (või mõni muu seade), mis töötab kliendina","{""Synset('klient.n.02')""}"
ARVUTI,host.n.01,"{""Synset('kaugarvuti.n.01')""}",kaugarvutile v. terminalile teenuseid andev peaarvuti (EKSS),set()
ARVUTI,sülearvuti.n.01,"{""Synset('digitaalarvuti.n.01')""}","väike kaasaskantav arvuti, mida saab kasutada süles hoides",set()
ASE,abieluvoodi.n.01,"{""Synset('kaheinimesevoodi.n.01')""}",suur kaheinimesevoodi,set()
ASE,poolteiseinimesevoodi.n.01,"{""Synset('üheinimesevoodi.n.01')"", ""Synset('kaheinimesevoodi.n.01')""}",kaheinimesevoodist kitsam ja üheinimesevoodist laiem voodi (EKSS),set()
ASENDAMA,kestama.v.02,"{""Synset('vahetama.v.01')""}","(lülijalgsete, kahepaiksete ja soomuseliste roomajate puhul:) väliskatet perioodiliselt uuendama",set()
ASENDAMA,konverteerima.v.01,"{""Synset('vahetama.v.01')""}","laenu, võla tingimusi muutma v. vahetama (EKSS)",set()
ASETAMA,poetama.v.01,"{""Synset('pistma.v.04')"", ""Synset('pistma.v.01')""}","midagi kuhugi märkamatult, vargsi panema, pistma v. langeda, kukkuda, pudeneda laskma",set()
ASETAMA,pistma.v.04,"{""Synset('toppima.v.03')""}","torkeliigutusega midagi kuhugi suruma, toppima, torkama järsu (kiirustava) liigutusega midagi kuhugi panema, pistma. (EKSS)",set()
ASETAMA,kuhjama.v.01,"{""Synset('paigutama.v.01')"", ""Synset('mahutama.v.01')""}","väga suurel hulgal kuhugi koguma, koondama v. paigutama.",set()
ASETAMA,kuhjama.v.02,"{""Synset('kuhjama.v.01')""}","hunnikusse, pealistikku koguma, ajama v. asetama (EKSS)",set()
ASETAMA,platseerima.v.01,"{""Synset('sihtima.v.01')""}",(eriti spordis palli täpselt määratud kohale suunama),set()
ASETAMA,laotama.v.02,"{""Synset('riputama.v.03')""}","midagi (hunnikust, kuhjast v. kogumist) laiali puistama",set()
ASETAMA,kihitama.v.01,"{""Synset('kuhjama.v.02')"", ""Synset('kuhjama.v.01')""}",kihtidena asetama. lademesse v. lademena asetama v. kuhjama.,set()
ASETAMA,jadastama.v.01,"{""Synset('paigutama.v.01')"", ""Synset('mahutama.v.01')""}",üksusi naturaalarvude järjestusele vastavasse asetusse paigutama,set()
ASETAMA,parkima.v.01,"{""Synset('paigutama.v.01')"", ""Synset('mahutama.v.01')""}","rööbasteeta liiklusvahendit (selleks lubatud kohale) kauemaks kui 5 minutiks seisma jätma, seismiseks paigutama; (sõiduki kohta:) kauem kui 5 minutit seisma",set()
ASETAMA,koristama.v.02,"{""Synset('kuhjama.v.01')""}","ära, kõrvale viima, kõrvaldama v. ühte kohta kokku koguma",set()
ASETAMA,rivistama.v.02,"{""Synset('paigutama.v.01')"", ""Synset('mahutama.v.01')""}",midagi ritta paigutama v. seadma (EKSS),set()
ASETAMA,rändama.v.03,"{""Synset('sihtima.v.01')""}",kasut. seoses suunatud liikumisega (millegi kuskile panemise v. toimetamisega) (EKSS),set()
ASETAMA,tõstma.v.02,"{""Synset('paigutama.v.01')"", ""Synset('mahutama.v.01')""}",vastutusrikkamale tööle v. kõrgemale ametikohale paigutama,set()
ASETAMA,istutama.v.01,"{""Synset('paigutama.v.01')"", ""Synset('mahutama.v.01')""}","taime esialgsest kasvukohast uude, alatisse kasvukohta paigutama; (sibulat) mulda kasvama panema (EKSS)",set()
ASETSEMA,asendama.v.02,"{""Synset('täitma.v.04')""}","millegi v. kellegi asemel, kohal, ülesannetes olema millegi v. kellegi asemel, kohal, ülesannetes olema",set()
ASETSEMA,täitma.v.04,"{""Synset('minema.v.15')""}","oma olemasoluga täis olekusse viima, millegi täiteks olema. (EKSS)",set()
ASETSEMA,sisalduma.v.01,"{""Synset('varjama.v.01')""}","milleski varjul, varjatud olema",set()
ASETSEMA,lasuma.v.01,"{""Synset('lamama.v.01')""}",millegi peal püsivalt lebama,set()
ASETSEMA,katma.v.01,"{""Synset('lasuma.v.01')""}","varjavaks v. kaitsvaks kihiks, katteks olema, millelgi (sellisena) laiuma v. lasuma, paiknema vms (EKSS)",set()
ASI,avantüür.n.01,"{""Synset('katse.n.01')""}","reaalseid tingimusi mittearvestav, nurjumise riskiga üritus; kahtlane (ning ohtlik) ettevõte",set()
ASI,jäljend.n.01,"{""Synset('ese.n.01')""}","järeletehtud ese, aine",set()
ASI,köis.n.01,"{""Synset('vahend.n.02')""}","jämedam tugevast tekstiilkiudainest kinnitamis- ja sidumis-, ka jõu ja liikumise ülekandmisvahend (EKSS)",set()
ASI,plaat.n.01,"{""Synset('ese.n.01')""}","võrdlemisi jäik ese, mille paksus on oluliselt väiksem tema teistest mõõtmetest",set()
ASI,rõngas.n.01,"{""Synset('ese.n.01')""}","ringikujuline ese, mis on keskelt tühi",set()
ASI,artikkel.n.01,"{""Synset('ese.n.01')""}",inimese poolt valmistatud asjade klassi kuuluv või seda esindav ese,set()
ASI,raskus.n.03,"{""Synset('ese.n.01')""}","ese, mis mõjub oma massiga (näit. rõhub peale, vajutab alla jms.)",set()
ASI,muistis.n.01,"{""Synset('ehitatu.n.01')"", ""Synset('ese.n.01')""}","kaugemast minevikust säilinud inimese valmistatud v. inimtegevusega seotud ese, ehitis vms.",set()
ASI,karp.n.03,"{""Synset('ese.n.01')""}","(kastikujulise hoone, eseme, seadmeosa kohta)",set()
ASI,klaas.n.02,"{""Synset('ese.n.01')""}",klaasist ese v. selle osa,set()
ASI,ruut.n.02,"{""Synset('ese.n.01')""}",nelinurga kujuline v. taoline kujund v. ese,set()
ASI,vahend.n.02,"{""Synset('ese.n.01')""}","tehisasi, mis on kasulik mingi eesmärgi saavutamiseks; ese, mille abil midagi tehakse v. saavutatakse, materiaalne asi (EKSS)",set()
ASI,rada.n.01,"{""Synset('tee.n.04')""}",võistluseks v. treeninguks vm. ettenähtud liikumistee,set()
ASI,mänguasi.n.01,"{""Synset('ese.n.01')""}","ese, mis on mõeldud mängimiseks",set()
ASI,rekvisiit.n.01,"{""Synset('ese.n.01')""}",lavastuses näitleja poolt kasutatav ese v. olustikku iseloomustav lavakujundusdetail,set()
ASI,varjuk.n.01,"{""Synset('ese.n.01')""}",liigset valgusvoogu tõkestav läbipaistmatu ese,set()
ASI,üksus.n.01,"{""Synset('osa.n.04')""}","kokkuvõetud osad/elemendid, mida käsitletakse koos ühe hulgana",set()
ASI,kodinad.n.01,"{""Synset('kaup.n.01')""}","igasugused esemed, asjad, materjal, kaup vms (EKSS)",set()
